#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADCYAP1	SCT	9606.ENSP00000462647	9606.ENSP00000176195	0	0	0	0	0	0	0.400	0.931	0.957
AMOTL2	LATS2	9606.ENSP00000424765	9606.ENSP00000372035	0	0	0	0	0.119	0.626	0.500	0.650	0.934
BSND	CLCNKA	9606.ENSP00000498282	9606.ENSP00000332771	0	0	0	0	0.135	0	0.900	0.992	0.999
C1R	C4B	9606.ENSP00000444271	9606.ENSP00000415941	0	0	0	0	0.139	0.288	0.900	0.875	0.991
CACNB1	CACNG3	9606.ENSP00000377840	9606.ENSP00000005284	0	0	0	0	0.085	0	0.540	0.808	0.912
CAMK2A	GRIN2B	9606.ENSP00000500386	9606.ENSP00000477455	0	0	0	0	0.199	0.978	0.400	0.965	0.999
CCK	GRP	9606.ENSP00000379472	9606.ENSP00000256857	0	0	0	0	0.125	0	0.400	0.951	0.972
CCK	SST	9606.ENSP00000379472	9606.ENSP00000287641	0	0	0	0	0.188	0	0	0.921	0.933
CCK	TAC1	9606.ENSP00000379472	9606.ENSP00000321106	0	0	0	0	0.141	0	0.400	0.858	0.920
CCK	NPY	9606.ENSP00000379472	9606.ENSP00000384364	0	0	0	0	0.139	0	0	0.906	0.916
CCK	CCKBR	9606.ENSP00000379472	9606.ENSP00000435534	0	0	0	0	0.184	0.994	0.700	0.999	0.999
CCL25	PF4V1	9606.ENSP00000375086	9606.ENSP00000226524	0	0	0	0	0	0.994	0	0.164	0.994
CCNA1	E2F2	9606.ENSP00000255465	9606.ENSP00000355249	0	0	0	0	0.055	0.146	0.900	0.607	0.964
CDR2L	ZCCHC12	9606.ENSP00000336587	9606.ENSP00000308921	0	0	0	0	0.060	0	0	0.952	0.952
COL8A1	COL8A2	9606.ENSP00000261037	9606.ENSP00000380901	0	0	0.081	0.917	0.165	0.292	0.800	0.436	0.927
COMP	MATN3	9606.ENSP00000222271	9606.ENSP00000383894	0	0	0	0	0.123	0.236	0.500	0.797	0.923
CORT	FANCM	9606.ENSP00000366248	9606.ENSP00000267430	0	0	0	0	0.058	0.849	0.540	0.221	0.942
CORT	SST	9606.ENSP00000366248	9606.ENSP00000287641	0	0	0	0	0.075	0	0.900	0.892	0.989
CRH	VIP	9606.ENSP00000276571	9606.ENSP00000356213	0	0	0	0	0.148	0	0.400	0.861	0.922
CRH	NPY	9606.ENSP00000276571	9606.ENSP00000384364	0	0	0	0	0.138	0	0	0.946	0.951
DSG1	FLG	9606.ENSP00000257192	9606.ENSP00000357789	0	0	0	0	0.263	0.246	0.500	0.814	0.941
FANCB	FANCM	9606.ENSP00000498215	9606.ENSP00000267430	0	0	0	0	0.186	0.994	0.900	0.999	0.999
